"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.4,1,2.8,0.61046723
1,0.4,1,3,0.700791463
1,0.4,1,3.2,0.7973449534
1,0.4,1,3.4,0.9001277013
1,0.4,1,3.6,1.009139707
1,0.4,1,3.8,1.124380969
1,0.4,1,4,1.24585149
1,0.4,1,4.2,1.373551267
1,0.4,1,4.4,1.507480303
1,0.4,1,4.6,1.647638595
1,0.4,1,4.8,1.794026145
1,0.4,1,5,1.946642953
1,0.5,0,0.2,0.004440039784
1,0.5,0,0.25,0.006937562163
1,0.5,0,0.3,0.009990089515
1,0.5,0,0.35,0.01359762184
1,0.5,0,0.4,0.01776015914
1,0.5,0,0.45,0.02247770141
1,0.5,0,0.5,0.02775024865
1,0.5,0,0.55,0.03357780087
1,0.5,0,0.6,0.03996035806
1,0.5,0,0.65,0.04689792022
1,0.5,0,0.7,0.05439048736
1,0.5,0,0.75,0.06243805947
1,0.5,0,0.8,0.07104063655
1,0.5,0,0.85,0.0801982186
1,0.5,0,0.9,0.08991080563
1,0.5,0,0.95,0.1001783976
1,0.5,0,1,0.1110009946
1,0.5,0,1.05,0.1223785966
1,0.5,0,1.1,0.1343112035
1,0.5,0,1.15,0.1467988154
1,0.5,0,1.2,0.1598414322
1,0.5,0,1.25,0.1734390541
1,0.5,0,1.3,0.1875916809
1,0.5,0,1.35,0.2022993127
1,0.5,0,1.4,0.2175619494
1,0.5,0,1.45,0.2333795912
1,0.5,0,1.5,0.2497522379
1,0.5,0,1.55,0.2666798895
1,0.5,0,1.6,0.2841625462
1,0.5,0,1.65,0.3022002078
1,0.5,0,1.7,0.3207928744
1,0.5,0,1.75,0.339940546
1,0.5,0,1.8,0.3596432225
1,0.5,0,1.85,0.379900904
1,0.5,0,1.9,0.4007135905
1,0.5,0,1.95,0.422081282
1,0.5,0,2,0.4440039784
1,0.5,0,2.05,0.4664816798
1,0.5,0,2.1,0.4895143862
1,0.5,0,2.15,0.5131020976
1,0.5,0,2.2,0.5372448139
1,0.5,0,2.25,0.5619425352
1,0.5,0,2.3,0.5871952615
1,0.5,0,2.35,0.6130029927
1,0.5,0,2.4,0.6393657289
1,0.5,0,2.45,0.6662834701
1,0.5,0,2.5,0.6937562163
1,0.5,0,2.6,0.7503667235
1,0.5,0,2.8,0.8702477977
1,0.5,0,3,0.9990089515
1,0.5,0,3.2,1.136650185
1,0.5,0,3.4,1.283171498
1,0.5,0,3.6,1.43857289
1,0.5,0,3.8,1.602854362
1,0.5,0,4,1.776015914
1,0.5,0,4.2,1.958057545
1,0.5,0,4.4,2.148979256
1,0.5,0,4.6,2.348781046
1,0.5,0,4.8,2.557462916
1,0.5,0,5,2.775024865
1,0.5,0.6666666666666,0.2,0.002330303506
1,0.5,0.6666666666666,0.25,0.003641099228
1,0.5,0.6666666666666,0.3,0.005243182888
1,0.5,0.6666666666666,0.35,0.007136554486
1,0.5,0.6666666666666,0.4,0.009321214023
1,0.5,0.6666666666666,0.45,0.0117971615
1,0.5,0.6666666666666,0.5,0.01456439691
1,0.5,0.6666666666666,0.55,0.01762292026
1,0.5,0.6666666666666,0.6,0.02097273155
1,0.5,0.6666666666666,0.65,0.02461383078
1,0.5,0.6666666666666,0.7,0.02854621795
1,0.5,0.6666666666666,0.75,0.03276989305
1,0.5,0.6666666666666,0.8,0.03728485609
1,0.5,0.6666666666666,0.85,0.04209110707
1,0.5,0.6666666666666,0.9,0.04718864599
1,0.5,0.6666666666666,0.95,0.05257747285
1,0.5,0.6666666666666,1,0.05825758764
1,0.5,0.6666666666666,1.05,0.06422899038
1,0.5,0.6666666666666,1.1,0.07049168105
1,0.5,0.6666666666666,1.15,0.07704565966
1,0.5,0.6666666666666,1.2,0.08389092621
1,0.5,0.6666666666666,1.25,0.09102748069
1,0.5,0.6666666666666,1.3,0.09845532312
1,0.5,0.6666666666666,1.35,0.1061744535
