"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","CoreLoss+SolidLoss [W]"
1,0.5,0,1.95,0.454358382
1,0.5,0,2,0.4783256784
1,0.5,0,2.05,0.5029222798
1,0.5,0,2.1,0.5281487862
1,0.5,0,2.15,0.5540060976
1,0.5,0,2.2,0.5804950139
1,0.5,0,2.25,0.6076161352
1,0.5,0,2.3,0.6353702615
1,0.5,0,2.35,0.6637582927
1,0.5,0,2.4,0.6927806289
1,0.5,0,2.45,0.7224382701
1,0.5,0,2.5,0.7527319163
1,0.5,0,2.6,0.8152295235
1,0.5,0,2.8,0.9478859977
1,0.5,0,3,1.0907928515
1,0.5,0,3.2,1.243991185
1,0.5,0,3.4,1.407519498
1,0.5,0,3.6,1.58141589
1,0.5,0,3.8,1.765718362
1,0.5,0,4,1.960460914
1,0.5,0,4.2,2.165679545
1,0.5,0,4.4,2.381406256
1,0.5,0,4.6,2.607674046
1,0.5,0,4.8,2.844515916
1,0.5,0,5,3.091960865
1,0.5,0.6666666666666,0.2,0.002458841506
1,0.5,0.6666666666666,0.25,0.003861969228
1,0.5,0.6666666666666,0.3,0.005586922888
1,0.5,0.6666666666666,0.35,0.007636177486
1,0.5,0.6666666666666,0.4,0.010011980023
1,0.5,0.6666666666666,0.45,0.0127163975
1,0.5,0.6666666666666,0.5,0.01575135691
1,0.5,0.6666666666666,0.55,0.01911865026
1,0.5,0.6666666666666,0.6,0.02281999155
1,0.5,0.6666666666666,0.65,0.02685700078
1,0.5,0.6666666666666,0.7,0.03123119795
1,0.5,0.6666666666666,0.75,0.03594407305
1,0.5,0.6666666666666,0.8,0.04099704609
1,0.5,0.6666666666666,0.85,0.04639145707
1,0.5,0.6666666666666,0.9,0.05212863599
1,0.5,0.6666666666666,0.95,0.05820984285
1,0.5,0.6666666666666,1,0.06463630764
1,0.5,0.6666666666666,1.05,0.07140923038
1,0.5,0.6666666666666,1.1,0.07852976105
1,0.5,0.6666666666666,1.15,0.08599902966
1,0.5,0.6666666666666,1.2,0.09381813621
1,0.5,0.6666666666666,1.25,0.10198818069
1,0.5,0.6666666666666,1.3,0.11051012312
1,0.5,0.6666666666666,1.35,0.1193850535
1,0.5,0.6666666666666,1.4,0.1286139718
1,0.5,0.6666666666666,1.45,0.138197878
1,0.5,0.6666666666666,1.5,0.1481376722
1,0.5,0.6666666666666,1.55,0.1584343543
1,0.5,0.6666666666666,1.6,0.1690887244
1,0.5,0.6666666666666,1.65,0.1801018824
1,0.5,0.6666666666666,1.7,0.1914745283
1,0.5,0.6666666666666,1.75,0.2032076622
1,0.5,0.6666666666666,1.8,0.215302184
1,0.5,0.6666666666666,1.85,0.2277586937
1,0.5,0.6666666666666,1.9,0.2405782914
1,0.5,0.6666666666666,1.95,0.253761677
1,0.5,0.6666666666666,2,0.2673096506
1,0.5,0.6666666666666,2.05,0.2812231121
1,0.5,0.6666666666666,2.1,0.2955026615
1,0.5,0.6666666666666,2.15,0.3101491989
1,0.5,0.6666666666666,2.2,0.3251634242
1,0.5,0.6666666666666,2.25,0.3405462374
1,0.5,0.6666666666666,2.3,0.3562981386
1,0.5,0.6666666666666,2.35,0.3724200278
1,0.5,0.6666666666666,2.4,0.3889127048
1,0.5,0.6666666666666,2.45,0.4057766698
1,0.5,0.6666666666666,2.5,0.4230127228
1,0.5,0.6666666666666,2.6,0.4586039925
1,0.5,0.6666666666666,2.8,0.5342817871
1,0.5,0.6666666666666,3,0.6159887888
1,0.5,0.6666666666666,3.2,0.7037656975
1,0.5,0.6666666666666,3.4,0.7976517132
1,0.5,0.6666666666666,3.6,0.8976853359
1,0.5,0.6666666666666,3.8,1.0039025656
1,0.5,0.6666666666666,4,1.1163394023
1,0.5,0.6666666666666,4.2,1.235028846
1,0.5,0.6666666666666,4.4,1.360006897
1,0.5,0.6666666666666,4.6,1.491303555
1,0.5,0.6666666666666,4.8,1.628952819
1,0.5,0.6666666666666,5,1.772983691
